Area Type, Area, Area Name, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,390,69160,71520,54330,76570
1,36,New York State,550,43590,39910,31580,49590
1,36,New York State,46940,75090,75360,47390,88940
1,36,New York State,1790,81300,80280,65870,89020
1,36,New York State,770,37810,33800,26680,43380
1,36,New York State,1750,64180,61340,41420,75570
1,36,New York State,n/a,34240,33250,25760,38480
1,36,New York State,119130,35370,31380,22480,41820
1,36,New York State,7890,34470,35380,25500,38950
1,36,New York State,7940,28210,25380,22330,31160
1,36,New York State,3600,42320,43440,35100,45920
1,36,New York State,23290,30960,28430,22070,35410
1,36,New York State,750270,29410,24540,21632,33440
1,36,New York State,16890,49910,44550,24290,62720
1,36,New York State,44870,40700,36990,25630,48230
1,36,New York State,12180,24520,22830,21632,26290
1,36,New York State,15900,34430,32760,25220,39030
1,36,New York State,68720,29570,27070,22220,33240
1,36,New York State,13030,24520,22650,21632,26250
1,36,New York State,800,32270,30600,26670,35070
1,36,New York State,59710,27170,24900,21632,29980
1,36,New York State,44240,32410,27320,21632,37990
1,36,New York State,174200,23990,22660,21632,25440
1,36,New York State,28970,25270,23160,21632,27290
1,36,New York State,161720,32210,25250,21632,37800
1,36,New York State,17250,31550,31470,22200,36220
1,36,New York State,33690,27750,22180,21632,31230
1,36,New York State,34100,25200,22620,21632,27300
1,36,New York State,20760,27190,24760,21760,29900
1,36,New York State,3100,28610,25560,21950,31940
1,36,New York State,313920,35770,31620,22680,42310
1,36,New York State,12810,54630,54180,35920,63980
1,36,New York State,5280,57120,51690,38700,66330
1,36,New York State,193940,34430,30750,22510,40390
1,36,New York State,48780,35050,28950,22410,41360
1,36,New York State,2990,38880,37930,28900,43870
1,36,New York State,45720,34090,31560,23550,39370
1,36,New York State,790,38180,32170,25910,44310
1,36,New York State,1160,52660,49700,39220,59380
1,36,New York State,1980,27300,24560,23730,29090
1,36,New York State,405750,31750,25980,22330,36460
1,36,New York State,590,51730,50310,36420,59380
1,36,New York State,20640,45490,43770,29440,53510
1,36,New York State,n/a,37930,35470,25650,44060
1,36,New York State,13230,28630,24950,21830,32030
1,36,New York State,1280,21632,21632,21632,21730
1,36,New York State,590,29180,25490,21670,32940
1,36,New York State,n/a,28200,26680,23240,30680
1,36,New York State,n/a,46470,35600,24070,57670
1,36,New York State,11910,26130,23990,21632,28510
1,36,New York State,16010,25470,23200,21632,27640
1,36,New York State,1120,77290,79980,40680,95600
1,36,New York State,1610,28570,24750,21632,32120
1,36,New York State,370,32750,29250,23630,37310
1,36,New York State,1360,30050,28690,22150,34010
1,36,New York State,1430,62340,63730,38820,74100
1,36,New York State,2390,27970,24350,22540,30690
1,36,New York State,25960,33680,25460,21632,39890
1,36,New York State,690,80210,73570,39780,100430
1,36,New York State,18370,23280,21632,21632,24520
1,36,New York State,1500,23080,21632,21632,24220
1,36,New York State,3620,41110,35690,23840,49740
1,36,New York State,4270,33080,30000,22720,38260
1,36,New York State,5880,44040,44270,28550,51790
1,36,New York State,3070,35920,28510,22440,42660
1,36,New York State,40280,28560,26500,22030,31830
1,36,New York State,166760,26900,25090,22990,28860
1,36,New York State,21630,62480,59680,27780,79830
1,36,New York State,30390,33210,29780,22160,38740
1,36,New York State,7920,34660,32040,24090,39950
1,36,New York State,1410,32580,28090,22290,37730
1,36,New York State,931500,53300,29950,21880,69010
1,36,New York State,65860,50570,44630,30760,60470
1,36,New York State,22150,111180,93050,54970,139290
1,36,New York State,194300,24630,22350,21632,26520
1,36,New York State,1080,35990,32090,22440,42760
1,36,New York State,20880,30540,25370,21840,34890
1,36,New York State,10710,37510,33630,23880,44330
1,36,New York State,317720,29040,23880,21632,32910
1,36,New York State,20040,86650,70300,40380,109790
1,36,New York State,20000,90110,65790,36000,117160
1,36,New York State,61270,167920,145760,60310,221720
1,36,New York State,6010,41370,36420,25740,49190
1,36,New York State,68000,77850,63710,36420,98570
1,36,New York State,16830,103900,89910,53580,129060
1,36,New York State,83060,74230,60160,33180,94760
1,36,New York State,4480,34330,31010,22670,40150
1,36,New York State,440,30520,21632,21632,35360
1,36,New York State,1890,99250,72120,46340,125710
1,36,New York State,4960,105700,92060,48690,134200
1,36,New York State,2360,116590,106420,76430,136660
1,36,New York State,6860,30000,23930,21632,34280
1,36,New York State,n/a,37500,43510,22930,44770
1,36,New York State,2440,39440,31470,22470,47930
1,36,New York State,1487280,44130,39620,25660,53360
1,36,New York State,113350,70650,65180,43880,84040
1,36,New York State,4900,37080,33890,24310,43460
1,36,New York State,900,49230,49930,35650,56020
1,36,New York State,n/a,30060,24710,23030,33580
1,36,New York State,16050,41470,37610,26940,48740
1,36,New York State,35190,43960,42050,31050,50410
1,36,New York State,109140,45450,44030,29020,53670
1,36,New York State,n/a,29100,25150,21632,32850
1,36,New York State,9680,48220,47410,32030,56320
1,36,New York State,3910,44720,44570,31550,51310
1,36,New York State,25300,30910,30050,25060,33830
1,36,New York State,1540,54150,49740,33150,64650
1,36,New York State,5630,63760,60840,39040,76130
1,36,New York State,n/a,44320,44270,32620,50170
1,36,New York State,7270,57190,50210,34050,68760
1,36,New York State,1610,48850,47260,34100,56220
1,36,New York State,159390,41460,37670,25670,49360
1,36,New York State,10810,49670,48570,37350,55830
1,36,New York State,8160,33750,30900,22690,39280
1,36,New York State,10520,33480,26750,22700,38860
1,36,New York State,15140,39390,40150,26930,45620
1,36,New York State,6660,32590,29920,22010,37880
1,36,New York State,6620,44210,42730,29660,51490
1,36,New York State,810,44810,39650,29380,52530
1,36,New York State,6240,35320,32760,23190,41380
1,36,New York State,10790,45080,43930,31290,51980
1,36,New York State,93070,33910,32320,24560,38590
1,36,New York State,9490,39170,34640,23300,47100
1,36,New York State,4780,45470,44270,31270,52570
1,36,New York State,6900,44520,41630,26650,53450
1,36,New York State,8230,33330,29110,21632,39250
1,36,New York State,4070,47680,46050,33760,54640
1,36,New York State,13140,50380,42190,27450,61850
1,36,New York State,1190,57970,56340,37760,68070
1,36,New York State,6150,51390,59940,38250,57970
1,36,New York State,22400,51240,60040,36400,58660
1,36,New York State,9500,51590,58600,36280,59250
1,36,New York State,31820,52160,50520,34160,61150
1,36,New York State,29660,36920,34140,24950,42910
1,36,New York State,110230,28470,24480,21750,31830
1,36,New York State,2410,32810,30310,22400,38010
1,36,New York State,87440,71870,71350,49750,82930
1,36,New York State,16500,59810,58900,33620,72910
1,36,New York State,10060,41320,40060,30570,46700
1,36,New York State,187490,41140,40350,27810,47810
1,36,New York State,3920,45340,44130,27690,54160
1,36,New York State,12180,36450,34420,25510,41920
1,36,New York State,17560,43510,41830,31170,49680
1,36,New York State,940,53680,49280,30650,65190
1,36,New York State,10380,50960,47880,35410,58740
1,36,New York State,7700,35940,34530,23900,41970
1,36,New York State,187360,34660,32540,22300,40840
1,36,New York State,3880,36450,34490,25130,42110
1,36,New York State,1550,46610,46660,31950,53940
1,36,New York State,570,56230,54350,44340,62180
1,36,New York State,16490,39970,38680,35310,42290
1,36,New York State,4740,37640,32730,24900,44010
1,36,New York State,n/a,61010,60720,42180,70420
1,36,New York State,320,62680,64570,42520,72770
1,36,New York State,n/a,26440,24610,21632,28860
1,36,New York State,n/a,34840,31000,24520,39990
1,36,New York State,n/a,32940,30060,25110,36850
1,36,New York State,590,32670,28810,21632,38340
1,36,New York State,n/a,37340,36500,23990,44010
1,36,New York State,380,41150,39020,32460,45500
1,36,New York State,n/a,39510,37730,27350,45590
1,36,New York State,n/a,32540,29730,22920,37350
1,36,New York State,332420,65580,58580,34700,81020
1,36,New York State,24920,86450,81120,53790,102780
1,36,New York State,360,66320,61570,45700,76630
1,36,New York State,6270,76740,74390,47560,91320
1,36,New York State,1220,48530,36530,24000,60800
1,36,New York State,47220,63750,56200,35860,77700
1,36,New York State,1220,47240,30600,24390,58670
1,36,New York State,720,47740,44760,28490,57370
1,36,New York State,n/a,37350,25790,23330,44360
1,36,New York State,2570,76800,78770,43040,93680
1,36,New York State,7530,74760,78200,45220,89520
1,36,New York State,60780,50320,43280,28820,61080
1,36,New York State,2220,66770,57210,31860,84220
1,36,New York State,n/a,102130,84700,61780,122300
1,36,New York State,12520,78960,67000,44830,96030
1,36,New York State,3720,60460,48460,33140,74120
1,36,New York State,880,64840,62060,40610,76960
1,36,New York State,41920,77840,72530,42390,95570
1,36,New York State,2480,56610,51630,34580,67630
1,36,New York State,1060,43360,39200,25510,52280
1,36,New York State,1020,70470,58360,33730,88840
1,36,New York State,13660,52050,46300,26040,65050
1,36,New York State,360,49810,44910,29080,60180
1,36,New York State,720,59170,56290,42570,67470
1,36,New York State,27410,79380,72910,44990,96570
1,36,New York State,730,74650,87180,44460,89740
1,36,New York State,780,92560,99070,49840,113920
1,36,New York State,4460,61270,50310,31070,76370
1,36,New York State,8080,67930,60830,35610,84080
1,36,New York State,6240,89440,92060,59450,104440
1,36,New York State,820,42170,40020,34950,45780
1,36,New York State,1520,43030,37470,27650,50730
1,36,New York State,1120,31610,29270,22390,36220
1,36,New York State,4260,38110,36000,26530,43910
1,36,New York State,300,32920,32520,22920,37920
1,36,New York State,2900,40830,38080,26850,47820
1,36,New York State,n/a,26920,25860,23290,28730
1,36,New York State,n/a,35030,34250,23680,40700
1,36,New York State,7240,67960,63660,43760,80060
1,36,New York State,4510,83940,86790,52040,99900
1,36,New York State,520,45320,35150,23380,56290
1,36,New York State,4770,64480,68190,38820,77320
1,36,New York State,15070,45650,44720,33170,51900
1,36,New York State,3230,69780,71890,56210,76560
1,36,New York State,1620,40950,38850,28990,46930
1,36,New York State,360,47570,42750,31320,55700
1,36,New York State,n/a,61180,66430,45250,69140
1,36,New York State,380,70810,61080,43970,84230
1,36,New York State,n/a,73410,71040,51480,84380
1,36,New York State,n/a,42280,41080,32660,47090
1,36,New York State,n/a,40470,40240,32930,44250
1,36,New York State,n/a,36190,33250,28610,39970
1,36,New York State,n/a,40570,39410,32990,44360
1,36,New York State,n/a,43660,44240,35120,47930
1,36,New York State,306590,53290,49590,29870,65000
1,36,New York State,24950,79370,75680,51350,93380
1,36,New York State,6100,44110,42680,28160,52090
1,36,New York State,12480,68810,72430,39890,83260
1,36,New York State,n/a,70300,72650,50190,80350
1,36,New York State,490,46160,39870,29370,54550
1,36,New York State,n/a,70450,72060,60210,75570
1,36,New York State,1960,58570,58640,40520,67590
1,36,New York State,2390,81790,80630,69860,87750
1,36,New York State,670,37940,34100,24840,44490
1,36,New York State,1490,39580,37380,25540,46600
1,36,New York State,4620,50420,50720,30960,60140
1,36,New York State,3120,66130,64800,45170,76620
1,36,New York State,7200,45720,44050,28960,54100
